measurement,sample,metabolite,isotopologue,natural_fraction,measured_fraction
162660.054,HEK_Wt_QC3_1x_split2_inj2,pyr,m0,0.9668488270281694,0.9621483781360236
6399.165655,HEK_Wt_QC3_1x_split2_inj2,pyr,m1,0.03315117297183056,0.037851621863976476
0.0,HEK_Wt_QC1_1x_split1_v2_inj3,f6p,m0,0.9167859968156374,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj3,f6p,m1,0.06470865085166679,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj3,f6p,m2,0.018505352332695794,NaN
366161.0,HEK_Wt_QC3_1x_split1_inj2,f6p,m0,0.9167859968156374,0.9275724270168958
22930.296986,HEK_Wt_QC3_1x_split1_inj2,f6p,m1,0.06470865085166679,0.058087866341642695
5660.626783,HEK_Wt_QC3_1x_split1_inj2,f6p,m2,0.018505352332695794,0.014339706641461414
2516695.369,HEK_Wt_QC3_1x_split2_inj2,succ,m0,0.948170304715792,0.9561080367256063
111922.3244,HEK_Wt_QC3_1x_split2_inj2,succ,m1,0.04345651347512055,0.04251997884446793
3611.377301,HEK_Wt_QC3_1x_split2_inj2,succ,m2,0.008373181809087452,0.0013719844299258648
128280538.6,HEK_Wt_QC3_1x_split2_inj2,mal,m0,0.9455778231129246,0.9484564337800725
5785187.017,HEK_Wt_QC3_1x_split2_inj2,mal,m1,0.043711748469938805,0.042773423831684754
1142378.385,HEK_Wt_QC3_1x_split2_inj2,mal,m2,0.010270410816432657,0.008446301682931496
43800.07201,HEK_Wt_QC3_1x_split2_inj2,mal,m3,0.00044001760070402814,0.00032384070531112487
147004.0249,HEK_Wt_QC1_1x_split2_inj1,r5p,m0,0.9442482828796744,0.9266135555744396
11642.50473,HEK_Wt_QC1_1x_split2_inj1,r5p,m1,0.05575171712032562,0.0733864444255603
1419566.358,HEK_Wt_QC2_1x_split1_inj2,acon-C,m0,0.9239846267790298,0.8821197469978947
141942.97448,HEK_Wt_QC2_1x_split1_inj2,acon-C,m1,0.06307424384971073,0.08820348554387637
47757.84789,HEK_Wt_QC2_1x_split1_inj2,acon-C,m2,0.01294112937125928,0.029676767458228774
226085.043,HEK_Wt_QC3_1x_split1_inj2,dhap,m0,0.9652721529240239,1.0
0.0,HEK_Wt_QC3_1x_split1_inj2,dhap,m1,0.03472784707597602,0.0
0.0,HEK_Wt_QC2_1x_split1_v2_inj4,dhap,m0,0.9652721529240239,NaN
0.0,HEK_Wt_QC2_1x_split1_v2_inj4,dhap,m1,0.03472784707597602,NaN
219187.0165,HEK_Wt_QC2_1x_split1_inj1,g6p,m0,0.9167859968156374,0.8715222255851497
15213.267586,HEK_Wt_QC2_1x_split1_inj1,g6p,m1,0.06470865085166679,0.06049035675875965
17098.77132,HEK_Wt_QC2_1x_split1_inj1,g6p,m2,0.018505352332695794,0.06798741765609063
252012.3786,HEK_Wt_QC2_1x_split1_v2_inj3,acon-C,m0,0.9239846267790298,1.0
0.0,HEK_Wt_QC2_1x_split1_v2_inj3,acon-C,m1,0.06307424384971073,0.0
0.0,HEK_Wt_QC2_1x_split1_v2_inj3,acon-C,m2,0.01294112937125928,0.0
14914.29068,HEK_Wt_QC2_1x_split1_v2_inj3,dhap,m0,0.9652721529240239,1.0
0.0,HEK_Wt_QC2_1x_split1_v2_inj3,dhap,m1,0.03472784707597602,0.0
0.0,HEK_Wt_QC3_1x_split1_v2_inj3,23dpg,m0,0.94422,0.0
0.0,HEK_Wt_QC3_1x_split1_v2_inj3,23dpg,m1,0.03563,0.0
2077.993405,HEK_Wt_QC3_1x_split1_v2_inj3,23dpg,m2,0.01944,1.0
0.0,HEK_Wt_QC3_1x_split1_v2_inj3,23dpg,m3,0.0007099999999999999,0.0
41856.61346,HEK_Wt_QC1_1x_split2_inj2,ru5p,m0,0.9442482828796744,0.9490466232825457
2247.240274,HEK_Wt_QC1_1x_split2_inj2,ru5p,m1,0.05575171712032562,0.050953376717454174
997296.4427,HEK_Wt_QC2_1x_split2_inj1,fum,m0,0.956469543812925,0.9479432990131103
54766.949423,HEK_Wt_QC2_1x_split2_inj1,fum,m1,0.04353045618707504,0.052056700986889796
333915.508,HEK_Wt_QC3_1x_split1_inj2,g6p,m0,0.9167859968156374,0.8874521504190654
25102.889859,HEK_Wt_QC3_1x_split1_inj2,g6p,m1,0.06470865085166679,0.06671631910879233
17244.71429,HEK_Wt_QC3_1x_split1_inj2,g6p,m2,0.018505352332695794,0.045831530472142334
167435.7023,HEK_Wt_QC2_1x_split2_inj1,ru5p,m0,0.9442482828796744,0.9575020330275723
7431.500614,HEK_Wt_QC2_1x_split2_inj1,ru5p,m1,0.05575171712032562,0.04249796697242778
183495.5729,HEK_Wt_QC2_1x_split2_inj2,pyr,m0,0.9668488270281694,0.9597116689082456
7703.074407,HEK_Wt_QC2_1x_split2_inj2,pyr,m1,0.03315117297183056,0.04028833109175444
2222514.582,HEK_Wt_QC2_1x_split2_inj1,succ,m0,0.948170304715792,0.9432234201700275
116017.5005,HEK_Wt_QC2_1x_split2_inj1,succ,m1,0.04345651347512055,0.04923721288825626
17764.98824,HEK_Wt_QC2_1x_split2_inj1,succ,m2,0.008373181809087452,0.007539366941716253
97796.70016,HEK_Wt_QC2_1x_split2_inj1,s7p,m0,0.9241086500588265,0.929158320452894
7456.299256,HEK_Wt_QC2_1x_split2_inj1,s7p,m1,0.07589134994117346,0.07084167954710595
95148.5,HEK_Wt_QC2_1x_split2_inj2,Pool_2pg_3pg,m0,0.9648983981089774,0.9267344324519516
7522.229249,HEK_Wt_QC2_1x_split2_inj2,Pool_2pg_3pg,m1,0.03510160189102272,0.07326556754804842
72335886.98,HEK_Wt_QC3_1x_split2_inj1,mal,m0,0.9455778231129246,0.9219789612269683
5051996.507,HEK_Wt_QC3_1x_split2_inj1,mal,m1,0.043711748469938805,0.06439175195202856
1026181.78,HEK_Wt_QC3_1x_split2_inj1,mal,m2,0.010270410816432657,0.013079510752609304
43133.89049,HEK_Wt_QC3_1x_split2_inj1,mal,m3,0.00044001760070402814,0.0005497760683938738
1037814.923,HEK_Wt_QC2_1x_split2_inj2,pep,m0,0.9655758950267292,0.959557466435165
43740.85589,HEK_Wt_QC2_1x_split2_inj2,pep,m1,0.0344241049732707,0.04044253356483492
1163399.413,HEK_Wt_QC2_1x_split1_inj1,acon-C,m0,0.9239846267790298,0.8527331315591127
166237.36043,HEK_Wt_QC2_1x_split1_inj1,acon-C,m1,0.06307424384971073,0.12184646421305598
34681.52258,HEK_Wt_QC2_1x_split1_inj1,acon-C,m2,0.01294112937125928,0.02542040422783115
403085.9066,HEK_Wt_QC2_1x_split1_inj1,23dpg,m0,0.94422,0.9371957824685511
18745.9383,HEK_Wt_QC2_1x_split1_inj1,23dpg,m1,0.03563,0.04358528548260507
6437.372549,HEK_Wt_QC2_1x_split1_inj1,23dpg,m2,0.01944,0.014967227343645426
1828.649123,HEK_Wt_QC2_1x_split1_inj1,23dpg,m3,0.0007099999999999999,0.004251704705198479
230519.4831,HEK_Wt_QC2_1x_split2_inj1,r5p,m0,0.9442482828796744,0.9517636325850033
11682.96634,HEK_Wt_QC2_1x_split2_inj1,r5p,m1,0.05575171712032562,0.04823636741499669
84340276.03,HEK_Wt_QC1_1x_split1_inj2,cit,m0,0.9207720772077208,0.919534164167728
5851132.4126,HEK_Wt_QC1_1x_split1_inj2,cit,m1,0.06351635163516352,0.06379296352481766
1450155.12967,HEK_Wt_QC1_1x_split1_inj2,cit,m2,0.014791479147914793,0.01581056225853861
79091.642685,HEK_Wt_QC1_1x_split1_inj2,cit,m3,0.0009200920092009201,0.000862310048915832
172258.4548,HEK_Wt_QC1_1x_split1_inj1,23dpg,m0,0.94422,0.9463081821488928
5750.358133,HEK_Wt_QC1_1x_split1_inj1,23dpg,m1,0.03563,0.031589804737667544
2226.846713,HEK_Wt_QC1_1x_split1_inj1,23dpg,m2,0.01944,0.01223326464497734
1796.428895,HEK_Wt_QC1_1x_split1_inj1,23dpg,m3,0.0007099999999999999,0.009868748468462368
66604103.51,HEK_Wt_QC2_1x_split2_inj1,mal,m0,0.9455778231129246,0.9266955188485484
4158461.526,HEK_Wt_QC2_1x_split2_inj1,mal,m1,0.043711748469938805,0.05785871227693515
1065359.202,HEK_Wt_QC2_1x_split2_inj1,mal,m2,0.010270410816432657,0.014822864454728933
44769.81879,HEK_Wt_QC2_1x_split2_inj1,mal,m3,0.00044001760070402814,0.0006229044197873709
42582.61226,HEK_Wt_QC1_1x_split2_inj2,Pool_2pg_3pg,m0,0.9648983981089774,0.911096320154609
4155.159936,HEK_Wt_QC1_1x_split2_inj2,Pool_2pg_3pg,m1,0.03510160189102272,0.08890367984539096
2178138.338,HEK_Wt_QC2_1x_split2_inj2,succ,m0,0.948170304715792,0.9484192708424461
100562.1012,HEK_Wt_QC2_1x_split2_inj2,succ,m1,0.04345651347512055,0.04378740919737132
17898.12745,HEK_Wt_QC2_1x_split2_inj2,succ,m2,0.008373181809087452,0.007793319960182516
0.0,HEK_Wt_QC1_1x_split1_v2_inj4,fdp,m0,0.908819088190882,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj4,fdp,m1,0.06539065390653906,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj4,fdp,m2,0.023900239002390026,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj4,fdp,m3,0.0016000160001600017,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj4,fdp,m4,0.0002900029000290003,NaN
0.0,HEK_Wt_QC2_1x_split1_v2_inj3,fdp,m0,0.908819088190882,NaN
0.0,HEK_Wt_QC2_1x_split1_v2_inj3,fdp,m1,0.06539065390653906,NaN
0.0,HEK_Wt_QC2_1x_split1_v2_inj3,fdp,m2,0.023900239002390026,NaN
0.0,HEK_Wt_QC2_1x_split1_v2_inj3,fdp,m3,0.0016000160001600017,NaN
0.0,HEK_Wt_QC2_1x_split1_v2_inj3,fdp,m4,0.0002900029000290003,NaN
179358.2583,HEK_Wt_QC1_1x_split1_inj2,dhap,m0,0.9652721529240239,0.9658820883531651
6335.482647,HEK_Wt_QC1_1x_split1_inj2,dhap,m1,0.03472784707597602,0.034117911646834934
0.0,HEK_Wt_QC3_1x_split1_v2_inj3,f6p,m0,0.9167859968156374,NaN
0.0,HEK_Wt_QC3_1x_split1_v2_inj3,f6p,m1,0.06470865085166679,NaN
0.0,HEK_Wt_QC3_1x_split1_v2_inj3,f6p,m2,0.018505352332695794,NaN
2320643.41,HEK_Wt_QC3_1x_split1_inj1,fdp,m0,0.908819088190882,0.9327680008081284
117387.3556,HEK_Wt_QC3_1x_split1_inj1,fdp,m1,0.06539065390653906,0.04718310815497709
44539.84526,HEK_Wt_QC3_1x_split1_inj1,fdp,m2,0.023900239002390026,0.017902510243688663
5340.003558,HEK_Wt_QC3_1x_split1_inj1,fdp,m3,0.0016000160001600017,0.0021463807932059465
